job_id,num_gpu,submit_time,iterations,model_name,duration,interval
178,1,34644,0,alexnet,3,0
179,8,34662,0,alexnet,5,0
180,8,34688,0,alexnet,5,0
181,8,34697,0,alexnet,13,0
182,8,34717,0,alexnet,4,0
183,8,34729,0,vgg19,13,0
184,1,34760,0,vgg19,3,0
185,8,34816,0,vgg19,19,0
186,8,34948,0,vgg19,6,0
187,1,34956,0,vgg19,3,0
188,8,34988,0,vgg19,4,0
189,1,35008,0,vgg19,3,0
190,8,35027,0,vgg19,4,0
191,1,35034,0,vgg11,3,0
192,8,35051,0,vgg11,7,0
193,8,35064,0,vgg11,11,0
194,1,35077,0,vgg11,3,0
195,8,35232,0,vgg11,7,0
196,8,35242,0,vgg11,26,0
197,8,36014,0,vgg11,9,0
198,1,36025,0,vgg11,3,0
199,1,36030,0,vgg11,3,0
200,1,36101,0,vgg11,3,0
201,8,36179,0,vgg11,5,0
202,1,36206,0,vgg11,3,0
203,1,36381,0,vgg11,3,0
204,1,36385,0,vgg11,3,0
205,1,36389,0,vgg11,3,0
206,1,36409,0,inception3,3,0
207,1,36438,0,vgg11,3,0
208,8,37535,0,vgg11,4,0
209,8,37577,0,vgg11,4,0
210,8,38087,0,vgg11,7,0
211,8,38153,0,resnet152,10,0
212,8,38205,0,resnet152,4,0
213,1,38242,0,resnet152,3,0
214,8,38287,0,resnet152,10,0
215,1,38305,0,resnet152,3,0
216,8,38316,0,resnet152,8,0
217,8,38333,0,resnet152,9,0
218,8,38348,0,resnet152,11,0
219,8,38360,0,inception3,6,0
220,1,38369,0,inception3,3,0
221,8,38374,0,inception3,11,0
222,8,38394,0,vgg19,11,0
223,8,38900,0,inception4,8,0
224,8,38918,0,inception4,6,0
225,8,38947,0,inception4,8,0
226,8,38960,0,inception4,6,0
227,8,38987,0,inception4,7,0
228,8,39055,0,inception4,6,0
229,8,39115,0,inception4,9,0
230,8,39136,0,inception4,4,0
231,8,39148,0,inception4,5,0
232,8,39156,0,inception4,5,0
233,1,39172,0,inception4,3,0
234,8,39178,0,inception4,4,0
235,8,39195,0,inception4,4,0
236,8,39272,0,alexnet,4,0
237,1,39291,0,alexnet,3,0
238,1,39295,0,vgg11,3,0
239,8,39300,0,vgg11,5,0
240,8,39307,0,vgg11,12,0
241,1,39321,0,vgg11,3,0
242,1,39353,0,vgg11,3,0
243,1,39361,0,vgg11,3,0
244,1,39366,0,alexnet,3,0
245,1,39370,0,alexnet,3,0
246,1,39375,0,alexnet,3,0
247,8,39384,0,alexnet,5,0
248,1,39394,0,alexnet,3,0
249,1,39398,0,alexnet,3,0
250,8,39402,0,alexnet,10,0
251,8,39416,0,alexnet,5,0
252,8,39422,0,alexnet,7,0
253,8,39432,0,alexnet,9,0
254,8,39443,0,alexnet,6,0
255,8,39455,0,alexnet,9,0
256,8,39509,0,inception3,5,0
257,8,39522,0,inception3,13,0
258,1,39537,0,inception3,3,0
259,1,39724,0,inception3,3,0
260,1,39728,0,inception3,3,0
261,1,39733,0,inception3,3,0
262,8,39743,0,inception3,17,0
263,8,39796,0,inception3,5,0
264,1,39803,0,inception3,3,0
265,8,39810,0,inception3,5,0
266,1,39818,0,inception3,3,0
267,8,39822,0,inception3,5,0
268,8,39830,0,inception3,5,0
269,1,39841,0,inception3,3,0
270,8,40352,0,inception3,7,0
271,8,40360,0,inception3,6,0
272,1,40418,0,inception3,3,0
273,1,40425,0,inception3,3,0
274,1,40537,0,inception3,3,0
275,8,40545,0,inception3,5,0
276,8,40558,0,inception3,6,0
