job_id,num_gpu,submit_time,iterations,model_name,duration,interval
169,8,30919,0,alexnet,2,0
170,8,31126,0,alexnet,2,0
171,8,31128,0,alexnet,2,0
172,8,31130,0,alexnet,2,0
173,8,31134,0,alexnet,2,0
174,8,31214,0,resnet50,1,0
175,8,31304,0,resnet50,1,0
176,8,31354,0,resnet50,1,0
177,8,31363,0,resnet50,1,0
178,8,31387,0,resnet50,1,0
179,8,32024,0,resnet50,1,0
180,8,32141,0,resnet50,1,0
181,8,32159,0,resnet50,1,0
182,8,32170,0,resnet50,2,0
183,8,32185,0,resnet50,1,0
184,8,32196,0,resnet152,1,0
185,8,32218,0,resnet152,1,0
186,8,32356,0,resnet152,1,0
187,8,32395,0,resnet152,1,0
188,8,32405,0,resnet152,1,0
189,8,32560,0,resnet50,2,0
190,8,32790,0,alexnet,1,0
191,8,32825,0,alexnet,1,0
192,8,33390,0,alexnet,2,0
193,8,33461,0,alexnet,2,0
194,8,33472,0,alexnet,2,0
195,8,33485,0,alexnet,2,0
196,8,33524,0,alexnet,2,0
197,8,33536,0,alexnet,2,0
198,8,33550,0,alexnet,2,0
199,8,33558,0,alexnet,2,0
200,8,33564,0,alexnet,2,0
201,8,33580,0,alexnet,2,0
202,8,33625,0,alexnet,3,0
203,8,33633,0,alexnet,3,0
204,8,33636,0,alexnet,4,0
205,8,33640,0,alexnet,2,0
206,8,33644,0,alexnet,2,0
207,8,33816,0,alexnet,2,0
208,8,33820,0,alexnet,1,0
209,8,33824,0,alexnet,2,0
210,8,33833,0,alexnet,1,0
211,8,33837,0,alexnet,2,0
212,8,33842,0,alexnet,1,0
213,8,33846,0,alexnet,3,0
214,8,33854,0,alexnet,2,0
215,8,33862,0,alexnet,2,0
216,8,33865,0,alexnet,4,0
217,8,33878,0,alexnet,2,0
218,8,33882,0,vgg11,2,0
219,8,33886,0,vgg11,2,0
220,8,33889,0,vgg11,3,0
221,8,33902,0,vgg11,2,0
222,8,33908,0,vgg11,2,0
223,8,33912,0,inception3,3,0
224,8,33916,0,vgg19,2,0
225,8,33969,0,vgg19,2,0
226,8,33973,0,vgg19,2,0
227,8,33977,0,vgg19,2,0
228,8,33981,0,vgg19,2,0
229,8,33993,0,vgg19,2,0
230,8,33995,0,vgg19,2,0
231,8,34000,0,vgg19,2,0
232,8,34002,0,vgg19,2,0
233,8,34027,0,vgg19,2,0
234,8,34029,0,vgg19,2,0
235,8,34033,0,vgg19,2,0
236,8,34036,0,vgg19,2,0
237,8,34076,0,vgg19,2,0
238,8,34078,0,vgg19,2,0
239,8,34082,0,vgg19,3,0
240,8,34085,0,vgg19,2,0
241,8,34095,0,vgg19,2,0
242,8,34099,0,vgg19,2,0
243,8,34102,0,vgg19,2,0
244,8,34174,0,alexnet,3,0
245,8,34222,0,alexnet,2,0
246,8,34226,0,alexnet,3,0
247,8,34230,0,alexnet,2,0
248,8,34278,0,alexnet,2,0
249,8,34280,0,alexnet,2,0
250,8,34282,0,alexnet,3,0
251,8,34285,0,alexnet,2,0
252,8,34317,0,alexnet,2,0
253,8,34815,0,alexnet,2,0
254,8,34818,0,alexnet,2,0
255,8,34821,0,resnet101,2,0
256,8,34823,0,resnet101,3,0
257,8,34887,0,resnet101,2,0
258,8,34890,0,resnet101,2,0
